＿,-1,-1,1,記号,一般,*,*,*,*,＿,*,*
ヽ,-1,-1,1,記号,一般,*,*,*,*,ヽ,*,*
ヾ,-1,-1,1,記号,一般,*,*,*,*,ヾ,*,*
ゝ,-1,-1,1,記号,一般,*,*,*,*,ゝ,*,*
ゞ,-1,-1,1,記号,一般,*,*,*,*,ゞ,*,*
〃,-1,-1,1,記号,一般,*,*,*,*,〃,*,*
仝,-1,-1,1,記号,一般,*,*,*,*,仝,*,*
々,-1,-1,1,記号,一般,*,*,*,*,々,*,*
〆,-1,-1,1,記号,一般,*,*,*,*,〆,*,*
〇,-1,-1,1,記号,一般,*,*,*,*,〇,*,*
ー,-1,-1,1,記号,一般,*,*,*,*,ー,*,*
―,-1,-1,1,記号,一般,*,*,*,*,―,*,*
‐,-1,-1,1,記号,一般,*,*,*,*,‐,*,*
／,-1,-1,1,記号,一般,*,*,*,*,／,*,*
＼,-1,-1,1,記号,一般,*,*,*,*,＼,*,*
～,-1,-1,1,記号,一般,*,*,*,*,～,*,*
∥,-1,-1,1,記号,一般,*,*,*,*,∥,*,*
｜,-1,-1,1,記号,一般,*,*,*,*,｜,*,*
…,-1,-1,1,記号,一般,*,*,*,*,…,*,*
‥,-1,-1,1,記号,一般,*,*,*,*,‥,*,*
‘,-1,-1,1,記号,一般,*,*,*,*,‘,*,*
’,-1,-1,1,記号,一般,*,*,*,*,’,*,*
“,-1,-1,1,記号,一般,*,*,*,*,“,*,*
”,-1,-1,1,記号,一般,*,*,*,*,”,*,*
（,-1,-1,1,記号,一般,*,*,*,*,（,*,*
）,-1,-1,1,記号,一般,*,*,*,*,）,*,*
〔,-1,-1,1,記号,一般,*,*,*,*,〔,*,*
〕,-1,-1,1,記号,一般,*,*,*,*,〕,*,*
［,-1,-1,1,記号,一般,*,*,*,*,［,*,*
］,-1,-1,1,記号,一般,*,*,*,*,］,*,*
｛,-1,-1,1,記号,一般,*,*,*,*,｛,*,*
｝,-1,-1,1,記号,一般,*,*,*,*,｝,*,*
〈,-1,-1,1,記号,一般,*,*,*,*,〈,*,*
〉,-1,-1,1,記号,一般,*,*,*,*,〉,*,*
《,-1,-1,1,記号,一般,*,*,*,*,《,*,*
》,-1,-1,1,記号,一般,*,*,*,*,》,*,*
「,-1,-1,1,記号,一般,*,*,*,*,「,*,*
」,-1,-1,1,記号,一般,*,*,*,*,」,*,*
『,-1,-1,1,記号,一般,*,*,*,*,『,*,*
』,-1,-1,1,記号,一般,*,*,*,*,』,*,*
【,-1,-1,1,記号,一般,*,*,*,*,【,*,*
】,-1,-1,1,記号,一般,*,*,*,*,】,*,*
＋,-1,-1,1,記号,一般,*,*,*,*,＋,*,*
－,-1,-1,1,記号,一般,*,*,*,*,－,*,*
±,-1,-1,1,記号,一般,*,*,*,*,±,*,*
×,-1,-1,1,記号,一般,*,*,*,*,×,*,*
÷,-1,-1,1,記号,一般,*,*,*,*,÷,*,*
＝,-1,-1,1,記号,一般,*,*,*,*,＝,*,*
≠,-1,-1,1,記号,一般,*,*,*,*,≠,*,*
＜,-1,-1,1,記号,一般,*,*,*,*,＜,*,*
＞,-1,-1,1,記号,一般,*,*,*,*,＞,*,*
≦,-1,-1,1,記号,一般,*,*,*,*,≦,*,*
≧,-1,-1,1,記号,一般,*,*,*,*,≧,*,*
∞,-1,-1,1,記号,一般,*,*,*,*,∞,*,*
∴,-1,-1,1,記号,一般,*,*,*,*,∴,*,*
♂,-1,-1,1,記号,一般,*,*,*,*,♂,*,*
♀,-1,-1,1,記号,一般,*,*,*,*,♀,*,*
°,-1,-1,1,記号,一般,*,*,*,*,°,*,*
′,-1,-1,1,記号,一般,*,*,*,*,′,*,*
″,-1,-1,1,記号,一般,*,*,*,*,″,*,*
℃,-1,-1,1,記号,一般,*,*,*,*,℃,*,*
￥,-1,-1,1,記号,一般,*,*,*,*,￥,*,*
＄,-1,-1,1,記号,一般,*,*,*,*,＄,*,*
￠,-1,-1,1,記号,一般,*,*,*,*,￠,*,*
￡,-1,-1,1,記号,一般,*,*,*,*,￡,*,*
％,-1,-1,1,記号,一般,*,*,*,*,％,*,*
＃,-1,-1,1,記号,一般,*,*,*,*,＃,*,*
＆,-1,-1,1,記号,一般,*,*,*,*,＆,*,*
＊,-1,-1,1,記号,一般,*,*,*,*,＊,*,*
＠,-1,-1,1,記号,一般,*,*,*,*,＠,*,*
§,-1,-1,1,記号,一般,*,*,*,*,§,*,*
☆,-1,-1,1,記号,一般,*,*,*,*,☆,*,*
★,-1,-1,1,記号,一般,*,*,*,*,★,*,*
○,-1,-1,1,記号,一般,*,*,*,*,○,*,*
●,-1,-1,1,記号,一般,*,*,*,*,●,*,*
◎,-1,-1,1,記号,一般,*,*,*,*,◎,*,*
◇,-1,-1,1,記号,一般,*,*,*,*,◇,*,*
◆,-1,-1,1,記号,一般,*,*,*,*,◆,*,*
□,-1,-1,1,記号,一般,*,*,*,*,□,*,*
■,-1,-1,1,記号,一般,*,*,*,*,■,*,*
△,-1,-1,1,記号,一般,*,*,*,*,△,*,*
▲,-1,-1,1,記号,一般,*,*,*,*,▲,*,*
▽,-1,-1,1,記号,一般,*,*,*,*,▽,*,*
▼,-1,-1,1,記号,一般,*,*,*,*,▼,*,*
※,-1,-1,1,記号,一般,*,*,*,*,※,*,*
